org_id remap_id entity_name
1 0 http://dbpedia.org/resource/Dragonfly_in_Amber
2 1 http://dbpedia.org/resource/Drums_of_Autumn
3 2 http://dbpedia.org/resource/Snow_Crash
7 3 http://dbpedia.org/resource/Lirael
9 4 http://dbpedia.org/resource/Sabriel
14 5 http://dbpedia.org/resource/The_Man_Who_Walked_Between_the_Towers
18 6 http://dbpedia.org/resource/The_Fiery_Cross_(novel)
19 7 http://dbpedia.org/resource/Espresso_Tales
20 8 http://dbpedia.org/resource/The_Grey_King
21 9 http://dbpedia.org/resource/Fingerprints_of_the_Gods
22 10 http://dbpedia.org/resource/The_Sherwood_Ring
26 11 http://dbpedia.org/resource/The_True_Confessions_of_Charlotte_Doyle
33 12 http://dbpedia.org/resource/Web_of_Dreams
34 13 http://dbpedia.org/resource/Ancient_Evenings
35 14 http://dbpedia.org/resource/Been_Down_So_Long_It_Looks_Like_Up_to_Me
36 15 http://dbpedia.org/resource/Go_Ask_Alice
37 16 http://dbpedia.org/resource/Birthday_Letters
38 17 http://dbpedia.org/resource/Zeno's_Conscience
39 18 http://dbpedia.org/resource/Crime_and_Punishment
40 19 http://dbpedia.org/resource/The_Laughing_Policeman_(novel)
41 20 http://dbpedia.org/resource/Bonjour_tristesse
43 21 http://dbpedia.org/resource/Zen_and_the_Art_of_Motorcycle_Maintenance
44 22 http://dbpedia.org/resource/Flaubert's_Parrot
45 23 http://dbpedia.org/resource/For_Whom_the_Bell_Tolls
48 24 http://dbpedia.org/resource/Gravity's_Rainbow
49 25 None
58 26 http://dbpedia.org/resource/Love_in_the_Time_of_Cholera
59 27 http://dbpedia.org/resource/Mansfield_Park
60 28 http://dbpedia.org/resource/Middlemarch
63 29 http://dbpedia.org/resource/Morvern_Callar
77 30 http://dbpedia.org/resource/The_Bonfire_of_the_Vanities
78 31 http://dbpedia.org/resource/The_Broom_of_the_System
79 32 http://dbpedia.org/resource/Winter_in_Madrid
81 33 http://dbpedia.org/resource/The_Electric_Kool-Aid_Acid_Test
82 34 http://dbpedia.org/resource/The_Leopard
84 35 http://dbpedia.org/resource/The_Thirteenth_Tale
85 36 http://dbpedia.org/resource/The_Life_and_Opinions_of_Tristram_Shandy,_Gentleman
87 37 http://dbpedia.org/resource/The_Master_and_Margarita
90 38 http://dbpedia.org/resource/The_Quiet_American
94 39 http://dbpedia.org/resource/The_Sea,_the_Sea
96 40 http://dbpedia.org/resource/The_Tin_Drum
98 41 http://dbpedia.org/resource/The_Winter_Queen_(novel)
99 42 http://dbpedia.org/resource/What_a_Carve_Up!_(novel)
102 43 http://dbpedia.org/resource/Charlotte_Gray_(novel)
103 44 http://dbpedia.org/resource/Cider_with_Rosie
104 45 http://dbpedia.org/resource/Friday_Night_Lights:_A_Town,_a_Team,_and_a_Dream
110 46 http://dbpedia.org/resource/King_Leary
111 47 http://dbpedia.org/resource/Living_History
112 48 http://dbpedia.org/resource/Foreign_Affairs
114 49 http://dbpedia.org/resource/Men_Are_from_Mars,_Women_Are_from_Venus
117 50 http://dbpedia.org/resource/Sex_and_the_City_(book)
121 51 http://dbpedia.org/resource/World_War_Z
123 52 http://dbpedia.org/resource/The_Devil_Wears_Prada_(novel)
137 53 http://dbpedia.org/resource/The_Wee_Free_Men
