org_id remap_id
http://dbpedia.org/resource/Dragonfly_in_Amber 0
http://dbpedia.org/resource/Drums_of_Autumn 1
http://dbpedia.org/resource/Snow_Crash 2
http://dbpedia.org/resource/Lirael 3
http://dbpedia.org/resource/Sabriel 4
http://dbpedia.org/resource/The_Man_Who_Walked_Between_the_Towers 5
http://dbpedia.org/resource/The_Fiery_Cross_(novel) 6
http://dbpedia.org/resource/Espresso_Tales 7
http://dbpedia.org/resource/The_Grey_King 8
http://dbpedia.org/resource/Fingerprints_of_the_Gods 9
http://dbpedia.org/resource/The_Sherwood_Ring 10
http://dbpedia.org/resource/The_True_Confessions_of_Charlotte_Doyle 11
http://dbpedia.org/resource/Web_of_Dreams 12
http://dbpedia.org/resource/Ancient_Evenings 13
http://dbpedia.org/resource/Been_Down_So_Long_It_Looks_Like_Up_to_Me 14
http://dbpedia.org/resource/Go_Ask_Alice 15
http://dbpedia.org/resource/Birthday_Letters 16
http://dbpedia.org/resource/Zeno's_Conscience 17
http://dbpedia.org/resource/Crime_and_Punishment 18
http://dbpedia.org/resource/The_Laughing_Policeman_(novel) 19
http://dbpedia.org/resource/Bonjour_tristesse 20
http://dbpedia.org/resource/Zen_and_the_Art_of_Motorcycle_Maintenance 21
http://dbpedia.org/resource/Flaubert's_Parrot 22
http://dbpedia.org/resource/For_Whom_the_Bell_Tolls 23
http://dbpedia.org/resource/Gravity's_Rainbow 24
49 25
http://dbpedia.org/resource/Love_in_the_Time_of_Cholera 26
http://dbpedia.org/resource/Mansfield_Park 27
http://dbpedia.org/resource/Middlemarch 28
http://dbpedia.org/resource/Morvern_Callar 29
http://dbpedia.org/resource/The_Bonfire_of_the_Vanities 30
http://dbpedia.org/resource/The_Broom_of_the_System 31
http://dbpedia.org/resource/Winter_in_Madrid 32
http://dbpedia.org/resource/The_Electric_Kool-Aid_Acid_Test 33
http://dbpedia.org/resource/The_Leopard 34
http://dbpedia.org/resource/The_Thirteenth_Tale 35
http://dbpedia.org/resource/The_Life_and_Opinions_of_Tristram_Shandy,_Gentleman 36
http://dbpedia.org/resource/The_Master_and_Margarita 37
http://dbpedia.org/resource/The_Quiet_American 38
http://dbpedia.org/resource/The_Sea,_the_Sea 39
http://dbpedia.org/resource/The_Tin_Drum 40
http://dbpedia.org/resource/The_Winter_Queen_(novel) 41
http://dbpedia.org/resource/What_a_Carve_Up!_(novel) 42
http://dbpedia.org/resource/Charlotte_Gray_(novel) 43
http://dbpedia.org/resource/Cider_with_Rosie 44
http://dbpedia.org/resource/Friday_Night_Lights:_A_Town,_a_Team,_and_a_Dream 45
http://dbpedia.org/resource/King_Leary 46
http://dbpedia.org/resource/Living_History 47
http://dbpedia.org/resource/Foreign_Affairs 48
http://dbpedia.org/resource/Men_Are_from_Mars,_Women_Are_from_Venus 49
http://dbpedia.org/resource/Sex_and_the_City_(book) 50
http://dbpedia.org/resource/World_War_Z 51
http://dbpedia.org/resource/The_Devil_Wears_Prada_(novel) 52
http://dbpedia.org/resource/The_Wee_Free_Men 53
http://dbpedia.org/resource/The_Amazing_Maurice_and_his_Educated_Rodents 54
http://dbpedia.org/resource/A_Hat_Full_of_Sky 55
http://dbpedia.org/resource/Maskerade 56
http://dbpedia.org/resource/Thief_of_Time 57
http://dbpedia.org/resource/Johnny_and_the_Bomb 58
http://dbpedia.org/resource/Thud! 59
147 60
http://dbpedia.org/resource/Monstrous_Regiment_(novel) 61
http://dbpedia.org/resource/Interesting_Times 62
http://dbpedia.org/resource/The_Colour_of_Magic 63
http://dbpedia.org/resource/Moving_Pictures_(novel) 64
http://dbpedia.org/resource/Reaper_Man 65
http://dbpedia.org/resource/The_Last_Hero 66
