org_id remap_id entity_name
1 0 None
2 1 http://dbpedia.org/resource/Jumanji
3 2 http://dbpedia.org/resource/Grumpier_Old_Men
4 3 http://dbpedia.org/resource/Waiting_to_Exhale
5 4 http://dbpedia.org/resource/Father_of_the_Bride_Part_II
6 5 http://dbpedia.org/resource/Heat_(1995_film)
7 6 http://dbpedia.org/resource/Sabrina_(1995_film)
8 7 http://dbpedia.org/resource/Tom_and_Huck
9 8 http://dbpedia.org/resource/Sudden_Death
10 9 http://dbpedia.org/resource/GoldenEye
11 10 http://dbpedia.org/resource/The_American_President
12 11 http://dbpedia.org/resource/Dracula:_Dead_and_Loving_It
13 12 http://dbpedia.org/resource/Balto_(film)
14 13 http://dbpedia.org/resource/Nixon_(film)
15 14 http://dbpedia.org/resource/Cutthroat_Island
16 15 http://dbpedia.org/resource/Casino_(film)
17 16 http://dbpedia.org/resource/Sense_and_Sensibility_(film)
18 17 http://dbpedia.org/resource/Four_Rooms
19 18 http://dbpedia.org/resource/Ace_Ventura:_When_Nature_Calls
20 19 http://dbpedia.org/resource/Money_Train_(film)
21 20 http://dbpedia.org/resource/Get_Shorty_(film)
22 21 http://dbpedia.org/resource/Copycat_(film)
23 22 http://dbpedia.org/resource/Assassins_(film)
24 23 http://dbpedia.org/resource/Powder_(film)
25 24 http://dbpedia.org/resource/Leaving_Las_Vegas
26 25 http://dbpedia.org/resource/Othello_(1995_film)
27 26 http://dbpedia.org/resource/I_Now_Pronounce_You_Chuck_and_Larry
28 27 http://dbpedia.org/resource/Persuasion_(1995_film)
29 28 http://dbpedia.org/resource/The_City_of_Lost_Children
30 29 http://dbpedia.org/resource/Shanghai_Triad
31 30 http://dbpedia.org/resource/Dangerous_Minds
32 31 http://dbpedia.org/resource/12_Monkeys
34 32 http://dbpedia.org/resource/Babe_(film)
35 33 http://dbpedia.org/resource/Carrington_(film)
36 34 http://dbpedia.org/resource/Dead_Man_Walking_(film)
38 35 http://dbpedia.org/resource/It_Takes_Two_(1995_film)
39 36 http://dbpedia.org/resource/Clueless_(film)
40 37 http://dbpedia.org/resource/Cry,_the_Beloved_Country_(1995_film)
41 38 http://dbpedia.org/resource/Richard_III_(1995_film)
42 39 http://dbpedia.org/resource/Dead_Presidents
43 40 http://dbpedia.org/resource/Restoration_(1995_film)
44 41 http://dbpedia.org/resource/Mortal_Kombat_(film)
45 42 http://dbpedia.org/resource/To_Die_For_(1994_film)
46 43 http://dbpedia.org/resource/How_to_Make_an_American_Quilt
47 44 http://dbpedia.org/resource/Seven_(1995_film)
48 45 http://dbpedia.org/resource/Pocahontas_(1995_film)
49 46 http://dbpedia.org/resource/When_Night_Is_Falling
50 47 http://dbpedia.org/resource/The_Usual_Suspects
52 48 http://dbpedia.org/resource/Mighty_Aphrodite
54 49 http://dbpedia.org/resource/The_Big_Green
55 50 http://dbpedia.org/resource/Georgia_(1995_film)
57 51 http://dbpedia.org/resource/Home_for_the_Holidays_(film)
58 52 None
60 53 http://dbpedia.org/resource/The_Indian_in_the_Cupboard_(film)
61 54 http://dbpedia.org/resource/Eye_for_an_Eye_(1996_film)
62 55 http://dbpedia.org/resource/Mr._Holland's_Opus
63 56 http://dbpedia.org/resource/Don't_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood
64 57 http://dbpedia.org/resource/Two_If_by_Sea
65 58 http://dbpedia.org/resource/Bio-Dome
66 59 http://dbpedia.org/resource/Lawnmower_Man_2:_Beyond_Cyberspace
68 60 http://dbpedia.org/resource/French_Twist_(film)
69 61 http://dbpedia.org/resource/Friday_(1995_film)
70 62 http://dbpedia.org/resource/From_Dusk_till_Dawn
71 63 http://dbpedia.org/resource/Fair_Game_(1995_film)
72 64 http://dbpedia.org/resource/Kicking_and_Screaming_(1995_film)
73 65 None
74 66 http://dbpedia.org/resource/Bed_of_Roses_(1996_film)
75 67 http://dbpedia.org/resource/Big_Bully_(film)
76 68 http://dbpedia.org/resource/Screamers_(1995_film)
77 69 None
78 70 http://dbpedia.org/resource/The_Crossing_Guard
79 71 http://dbpedia.org/resource/The_Juror
80 72 None
81 73 http://dbpedia.org/resource/Things_to_Do_in_Denver_When_You're_Dead
82 74 http://dbpedia.org/resource/Antonia's_Line
83 75 None
84 76 http://dbpedia.org/resource/Last_Summer_in_the_Hamptons
85 77 None
86 78 http://dbpedia.org/resource/White_Squall_(film)
87 79 http://dbpedia.org/resource/Dunston_Checks_In
88 80 http://dbpedia.org/resource/Black_Sheep_(1996_film)
89 81 http://dbpedia.org/resource/Nick_of_Time_(film)
92 82 http://dbpedia.org/resource/Mary_Reilly_(film)
93 83 http://dbpedia.org/resource/Vampire_in_Brooklyn
94 84 http://dbpedia.org/resource/Beautiful_Girls_(film)
95 85 http://dbpedia.org/resource/Broken_Arrow_(1996_film)
96 86 http://dbpedia.org/resource/In_the_Bleak_Midwinter_(film)
97 87 None
99 88 http://dbpedia.org/resource/Heidi_Fleiss:_Hollywood_Madam
100 89 http://dbpedia.org/resource/City_Hall_(film)
101 90 http://dbpedia.org/resource/Bottle_Rocket
102 91 http://dbpedia.org/resource/Mr._Wrong
103 92 http://dbpedia.org/resource/Unforgettable
104 93 http://dbpedia.org/resource/Happy_Gilmore
105 94 http://dbpedia.org/resource/The_Bridges_of_Madison_County_(film)
106 95 None
107 96 http://dbpedia.org/resource/Muppet_Treasure_Island
110 97 http://dbpedia.org/resource/Braveheart_(1925_film)
111 98 http://dbpedia.org/resource/Taxi_Driver_(1954_film)
112 99 None
113 100 http://dbpedia.org/resource/Before_and_After_(film)
114 101 http://dbpedia.org/resource/Margaret's_Museum
116 102 http://dbpedia.org/resource/Anne_Frank_Remembered
117 103 http://dbpedia.org/resource/The_Young_Poisoner's_Handbook
118 104 http://dbpedia.org/resource/If_Lucy_Fell
119 105 http://dbpedia.org/resource/Steal_Big_Steal_Little
121 106 http://dbpedia.org/resource/The_Boys_of_St._Vincent
122 107 http://dbpedia.org/resource/Boomerang_(1992_film)
123 108 None
124 109 None
125 110 http://dbpedia.org/resource/Flirting_with_Disaster_(film)
126 111 http://dbpedia.org/resource/The_NeverEnding_Story_III
128 112 None
129 113 http://dbpedia.org/resource/Pie_in_the_Sky_(1996_film)
131 114 http://dbpedia.org/resource/Frankie_Starlight
132 115 http://dbpedia.org/resource/Jade_(film)
135 116 http://dbpedia.org/resource/Down_Periscope
137 117 http://dbpedia.org/resource/Man_of_the_Year_(1995_film)
140 118 None
141 119 http://dbpedia.org/resource/The_Birdcage
144 120 http://dbpedia.org/resource/The_Brothers_McMullen
145 121 http://dbpedia.org/resource/Bad_Boys_(1995_film)
146 122 http://dbpedia.org/resource/The_Amazing_Panda_Adventure
147 123 http://dbpedia.org/resource/The_Basketball_Diaries_(film)
148 124 http://dbpedia.org/resource/An_Awfully_Big_Adventure
149 125 http://dbpedia.org/resource/Amateur_(film)
150 126 http://dbpedia.org/resource/Apollo_13_(film)
151 127 http://dbpedia.org/resource/Rob_Roy
152 128 http://dbpedia.org/resource/Addiction_(film)
153 129 http://dbpedia.org/resource/Batman_Forever
154 130 http://dbpedia.org/resource/Belle_de_Jour_(film)
155 131 http://dbpedia.org/resource/Beyond_Rangoon
156 132 http://dbpedia.org/resource/Blue_in_the_Face
157 133 http://dbpedia.org/resource/Canadian_Bacon
